From,To,Type,robot_walkable,distância percorrida,tempo,consumo de bateria,segurança da rota,custo financeiro,Presença de semáforo,Presença de buracos,Engarrafamento,Lombadas
n01,n02,route,true,800,3,2,8,1,0,1,2,2
n02,n03,route,true,1200,5,4,7,2,1,3,4,3
n03,n04,route,true,500,2,1,9,1,0,0,1,1
n04,n05,route,true,1500,7,5,6,3,2,2,5,4
n05,n06,route,true,400,2,1,8,1,0,1,1,1
n06,n07,route,true,900,4,3,7,2,0,2,3,2
n07,n09,route,true,600,3,2,9,1,1,0,2,1
n09,n10,route,true,1100,5,4,6,2,0,4,3,3
n10,n11,route,true,700,3,2,8,1,0,1,2,2
n11,n14,route,true,1300,6,5,7,3,1,2,4,3
n14,n15,route,true,450,2,1,9,1,0,0,1,1
n15,n16,route,true,850,4,3,8,2,0,1,2,2
n16,n20,route,true,1000,5,4,7,2,1,3,3,2
n20,n23,route,false,1600,8,6,5,4,2,2,6,4
n23,n26,route,true,2000,10,8,6,5,3,1,8,2
n01,n26,route,true,1800,9,7,7,4,2,1,7,3
n26,n31,route,true,1400,6,5,8,3,1,1,4,3
n31,n34,route,true,2200,12,9,5,5,2,4,8,5
n31,n39,route,true,950,4,3,9,2,1,0,2,2
n39,n40,route,true,1700,8,6,7,4,2,2,5,3
n06,n08,route,true,500,3,2,8,1,0,1,1,1
n10,n12,route,true,750,4,3,7,2,0,2,2,2
n12,n13,route,true,600,3,2,8,1,0,1,1,1
n16,n17,route,true,800,4,3,7,2,0,1,2,2
n18,n19,route,true,450,2,1,9,1,0,0,1,1
n19,n21,route,true,900,4,3,8,2,0,2,2,2
n21,n22,route,true,650,3,2,8,1,0,1,1,1
n24,n25,route,true,500,2,2,9,1,0,0,1,1
n25,n01,route,true,1100,5,4,7,2,1,1,3,2
n27,n28,route,true,550,3,2,8,1,0,1,1,1
n28,n04,route,true,700,3,2,8,1,0,1,2,1
n29,n30,route,true,600,3,2,7,1,0,2,2,2
n30,n09,route,true,850,4,3,8,2,0,1,2,2
n32,n33,route,true,750,4,3,8,2,0,1,2,2
n33,n31,route,true,900,4,3,7,2,1,1,3,2
n35,n36,route,true,500,2,2,9,1,0,0,1,1
n36,n20,route,true,800,4,3,8,2,0,1,2,2
n37,n38,route,true,600,3,2,8,1,0,1,1,1
n38,n40,route,true,950,5,4,7,2,1,2,3,2
n19,n35,route,true,700,,,,,,,,
